entreprise,site_web,score,annee_creation,cms,nb_pages,blog,blog_url,rss,derniere_maj_blog,frequence_publication,activite,derniere_maj_site,sitemap,pages_sans_meta_desc,pages_sans_h1,mots_moy_page,resume
PILOTAGE DE LA GIRONDE,https://pilotagegironde.com/,9.5,1985,Joomla,10.0,False,,False,,,inconnu,,False,2.0,10.0,148.0,"Score 9.5/10. Opportunités : pas de blog, pas de sitemap, contenu faible (148 mots/page), ratio texte/HTML faible (6%), CMS : Joomla, 2 pages sans meta desc, 10 pages sans H1."
NAUTIC ELEC - GULF STREAM,https://www.nautic-elec.com/,9.5,2000,WordPress,2.0,False,,False,,,inconnu,,False,2.0,0.0,242.0,"Score 9.5/10. Opportunités : pas de blog, pas de sitemap, 2 pages seulement, ratio texte/HTML faible (2%), CMS : WordPress, 2 pages sans meta desc."
TECK INOX,https://www.teck-inox.com/,7.0,1998,WordPress,10.0,True,https://www.teck-inox.com/blog,True,2019-07-29,,abandonné,2019-07-29,False,6.0,0.0,531.0,"Score 7.0/10. Opportunités : blog abandonné, pas de sitemap, ratio texte/HTML faible (3%), CMS : WordPress, 6 pages sans meta desc."
CHANTIER NAVAL COUACH - CNC,https://couach.com/,7.0,2009,WordPress,10.0,True,https://couach.com/en/news-yachts,False,,,semi-actif,2026-01-26,False,7.0,9.0,274.0,"Score 7.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (1%), CMS : WordPress, 7 pages sans meta desc, 9 pages sans H1."
SARL LECAMUS,https://www.lecamus.com/,7.0,1994,Wix,10.0,False,,False,,,inconnu,,False,0.0,9.0,227.0,"Score 7.0/10. Opportunités : pas de blog, pas de sitemap, ratio texte/HTML faible (0%), CMS : Wix, 9 pages sans H1."
CHANTIER NAVAL DES MINIMES,https://chantier-naval-minimes.com/,6.5,2021,WordPress,10.0,True,https://chantier-naval-minimes.com/actualites-du-chantier,True,,,semi-actif,2025-10-02,False,3.0,10.0,215.0,"Score 6.5/10. Opportunités : pas de sitemap, ratio texte/HTML faible (1%), CMS : WordPress, 3 pages sans meta desc, 10 pages sans H1."
NAVITEAM,https://naviteam.eu/,6.0,2013,WordPress,10.0,True,https://naviteam.eu/en/news/page/2,True,2019-06-25,mensuelle,abandonné,2019-06-25,False,0.0,0.0,401.0,"Score 6.0/10. Opportunités : blog abandonné, pas de sitemap, ratio texte/HTML faible (3%), CMS : WordPress."
SEA INVEST SHIPPING AGENCY,https://sea-invest.com/,6.0,1980,WordPress,10.0,True,https://sea-invest.com/news,True,,,semi-actif,2026-02-02,False,10.0,2.0,304.0,"Score 6.0/10. Opportunités : pas de sitemap, ratio texte/HTML faible (2%), CMS : WordPress, 10 pages sans meta desc, 2 pages sans H1."
ALTERNATIVES ENERGIES,https://www.alternativesenergies.com/,6.0,1996,WordPress,10.0,True,https://www.alternativesenergies.com/actualites-alternatives-energies,True,2020-06-16,rare,abandonné,2020-06-16,False,1.0,0.0,558.0,"Score 6.0/10. Opportunités : blog abandonné, pas de sitemap, ratio texte/HTML faible (2%), CMS : WordPress, 1 pages sans meta desc."
LAMANAGE ET SERVICES MARITIMES DES PORTS DE LA ROCHELLE - CHARENTE,https://lamanage-syndicatpro.fr/,5.5,1968,WordPress,10.0,False,,True,,,inconnu,,False,10.0,5.0,515.0,"Score 5.5/10. Opportunités : pas de blog, pas de sitemap, ratio texte/HTML faible (2%), CMS : WordPress, 10 pages sans meta desc, 5 pages sans H1."
ATLANTIQUE SELLERIE CHRISTIAN COSTES,http://atlantiquesellerie.com/,5.5,1992,WordPress,10.0,False,,True,,,inconnu,,False,2.0,6.0,331.0,"Score 5.5/10. Opportunités : pas de blog, pas de sitemap, ratio texte/HTML faible (7%), CMS : WordPress, 2 pages sans meta desc, 6 pages sans H1."
